Designator,Mid X,Mid Y,Rotation,Layer
H1,129.57024,-116.864237,0.0,top
H2,148.952965,-102.93398,90.0,top
H3,148.91334,-90.402316,90.0,top
J1,103.48992,-67.127495,0.0,top
J2,185.882729,-88.394793,0.0,top
J3,126.010561,-105.744237,0.0,top
J4,176.619962,-127.443531,0.0,top
J5,113.170561,-107.014237,0.0,top
J6,189.459962,-128.713531,0.0,top
J7,163.779962,-129.983531,0.0,top
RESET_2,134.530561,-90.204237,90.0,top
RESET,155.259962,-111.903531,90.0,top
SW3,134.378561,-75.196836,0.0,top
SW4,154.617964,-95.835877,0.0,top
U1,120.790561,-83.024237,0.0,top
U2,168.999962,-104.723531,0.0,top
